"","date","Team","Opponent","Player","#","Pos","Age","Club","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG","npxG","xAG","SCA","GCA","Cmp","Att","Cmp%","PrgP","Carries","PrgC","Att","Succ"
"1","November-21-2022","United States","Wales","Josh Sargent","24","FW","22-274","2.eng Norwich City","73","0","0","0","0","1","0","0","0","16","0","0","0","0.2","0.2","0.0","0","0","10","11","90.9","0","7","0","0","0"
"2","November-21-2022","United States","Wales","Haji Wright","19","FW","24-239","1.tr Antalyaspor","17","0","0","0","0","1","0","0","0","6","0","0","0","0.0","0.0","0.0","0","0","4","4","100.0","0","3","0","0","0"
"3","November-21-2022","United States","Wales","Christian Pulisic","10","LW","24-064","1.eng Chelsea","90","0","1","0","0","0","0","0","0","64","0","0","2","0.0","0.0","0.5","3","1","30","51","58.8","8","50","10","4","0"
"4","November-21-2022","United States","Wales","Timothy Weah","21","RW","22-272","1.fr Lille","87","1","0","0","0","1","1","0","0","33","0","0","2","0.4","0.4","0.0","1","0","24","28","85.7","2","23","2","0","0"
"5","November-21-2022","United States","Wales","Jordan Morris","16","RW","28-026","1.us Seattle","3","0","0","0","0","0","0","0","0","3","0","0","0","0.0","0.0","0.0","0","0","1","3","33.3","0","2","1","0","0"
"6","November-21-2022","United States","Wales","Yunus Musah","6","LM","19-357","1.es Valencia","73","0","0","0","0","0","0","0","0","49","0","0","1","0.0","0.0","0.0","3","1","39","44","88.6","6","42","7","2","1"
"7","November-21-2022","United States","Wales","Kellyn Acosta","23","LM","27-120","1.us Los Angeles FC","17","0","0","0","0","0","0","1","0","10","1","0","0","0.0","0.0","0.0","1","0","7","8","87.5","3","7","1","0","0"
"8","November-21-2022","United States","Wales","Tyler Adams","4","CM","23-280","1.eng Leeds United","90","0","0","0","0","1","0","0","0","84","6","2","1","0.0","0.0","0.0","0","0","62","71","87.3","10","38","1","0","0"
"9","November-21-2022","United States","Wales","Weston McKennie","8","RM","24-085","1.it Juventus","65","0","0","0","0","0","0","1","0","42","0","0","2","0.0","0.0","0.0","0","0","26","36","72.2","1","16","2","0","0"
"10","November-21-2022","United States","Wales","Brenden Aaronson","11","RM","22-030","1.eng Leeds United","25","0","0","0","0","1","0","0","0","26","1","0","1","0.1","0.1","0.0","0","0","17","19","89.5","1","19","1","2","0"
"11","November-21-2022","United States","Wales","Antonee Robinson","5","LB","25-105","1.eng Fulham","90","0","0","0","0","0","0","0","0","79","1","1","1","0.0","0.0","0.2","3","0","50","65","76.9","6","37","4","1","1"
"12","November-21-2022","United States","Wales","Tim Ream","13","CB","35-047","1.eng Fulham","90","0","0","0","0","0","0","1","0","82","2","2","1","0.0","0.0","0.0","0","0","69","74","93.2","4","55","0","1","1"
"13","November-21-2022","United States","Wales","Walker Zimmerman","3","CB","29-186","1.us Nashville","90","0","0","0","0","0","0","0","0","98","0","1","0","0.0","0.0","0.0","0","0","86","91","94.5","2","71","0","0","0"
"14","November-21-2022","United States","Wales","Sergiño Dest","2","RB","22-018","1.it Milan","73","0","0","0","0","1","0","1","0","82","2","0","1","0.0","0.0","0.0","0","0","65","71","91.5","8","55","1","0","0"
"15","November-21-2022","United States","Wales","DeAndre Yedlin","22","RB","29-135","1.us Inter Miami","17","0","0","0","0","0","0","0","0","20","1","0","0","0.0","0.0","0.0","1","0","12","18","66.7","0","9","1","0","0"
